OBJECTID,Ohrozenie,Dátum,Poznámka,Druh ohrozenia,Ohrozenie detail,Hodina výskytu,Y,X
655,Medveď - pobytové znaky,2022-10-27 10:00:00,vyhrabané osy a chlpy na ostnatom drôte,Nedefinované,,Nedefinované,"48,86836622","19,8054399"
656,Medveď - vizuálny kontakt,2022-10-03 10:00:00,,Medvedica s mladými,,Nedefinované,"48,86017188","19,0826371"
657,Medveď - vizuálny kontakt,2022-09-28 10:00:00,,Samec,,Nedefinované,"48,85765176","19,08089929"
658,Medveď - vizuálny kontakt,2022-11-02 11:28:24,"Na jednom mieste 5 medveďov, medvedica + pestún a ďalšia medvedica + 2 tohtoročné mláďatá",Medvedica s mladými,,9,"48,87700348","19,3411357"
659,Medveď - vizuálny kontakt,2022-10-31 11:00:00,Medvedica s pestúnom,Medvedica s mladými,,8,"48,84777219","19,33154136"
660,Medveď - vizuálny kontakt,2022-11-02 11:32:28,medveď - samec cca. 60-80 kg,Samec,,16,"48,87675974","19,33235862"
661,Medveď - vizuálny kontakt,2022-08-25 10:00:00,medveď - samec cca. 100 kg,Samec,,19,"48,83985897","19,35535246"
662,Medveď - vizuálny kontakt,2022-03-31 10:00:00,medvedica s dvomi mladými,Medvedica s mladými,,10,"48,85027673","19,34688409"
663,Medveď - pobytové znaky,2022-11-03 11:04:10,,Značkovacie stromy a vývratiská,,,"48,88058089","19,78423071"
664,Medveď - vizuálny kontakt,2022-09-23 10:00:00,fotopasca,Samec,,22,"48,80270514","18,72181375"
665,Medveď - vizuálny kontakt,2022-11-04 11:02:23,,Nedefinované,,Nedefinované,"48,78399254","18,77615426"
666,Medveď - vizuálny kontakt,2022-09-22 10:00:00,fotopasca,Medvedica s mladými,,22,"48,783966","18,77610326"
667,Medveď - pobytové znaky,2022-06-15 10:00:00,,Trus,,Nedefinované,"48,85573641","18,55010388"
668,Medveď - pobytové znaky,2022-12-13 11:00:00,,Stopa,,Nedefinované,"48,87508465","19,79013725"
669,Medveď - pobytové znaky,2022-09-22 10:00:00,,Stopa,,17,"48,82557723","18,7280257"
670,Medveď - pobytové znaky,2022-06-21 10:00:00,,Trus,,9,"48,75112992","18,8229391"
671,Medveď - pobytové znaky,2022-12-06 11:00:00,,Stopa,,14,"48,70933167","18,78625187"
672,Medveď - vizuálny kontakt,2022-11-23 11:00:00,,Samec,,13,"48,80526472","18,55807636"
673,Medveď - vizuálny kontakt,2022-07-20 10:00:00,,Nedefinované,,7,"48,92800727","18,6730649"
674,Medveď - vizuálny kontakt,2022-09-27 10:00:00,,Nedefinované,,9,"48,94528178","18,66482593"
675,Medveď - pobytové znaky,2023-01-27 11:00:00,,Nedefinované,,8,"48,94316403","18,68338599"
676,Medveď - pobytové znaky,2023-01-26 11:00:00,,Nedefinované,,9,"48,95323664","18,67302108"
677,Medveď - vizuálny kontakt,2022-07-18 10:00:00,,Nedefinované,,17,"48,91940913","18,6711828"
678,Medveď - vizuálny kontakt,2022-08-25 10:00:00,,Nedefinované,,7,"48,92961223","18,67721598"
679,Medveď - vizuálny kontakt,2022-09-19 10:00:00,,Nedefinované,,7,"48,92894626","18,65168369"
680,Medveď - vizuálny kontakt,2022-08-17 10:00:00,,Medvedica s mladými,,9,"48,68849743","18,97608144"
681,Medveď - vizuálny kontakt,2022-08-16 10:00:00,,Samec,,14,"48,67995778","18,9639416"
682,Medveď - vizuálny kontakt,2022-09-25 10:00:00,,Samec,,13,"48,68170008","18,97719681"
683,Medveď - vizuálny kontakt,2022-07-31 10:00:00,,Medvedica s mladými,,9,"48,69490825","18,99857735"
684,Medveď - vizuálny kontakt,2022-08-17 10:00:00,,Medvedica s mladými,,10,"48,70711103","18,99466626"
685,Medveď - vizuálny kontakt,2022-06-20 10:00:00,,Samec,,13,"48,69414004","18,98763731"
686,Medveď - vizuálny kontakt,2022-06-30 10:00:00,,Medvedica s mladými,,13,"48,68724268","18,98834276"
687,Medveď - pobytové znaky,2023-02-16 11:00:00,,Stopa,,9,"48,66667725","19,01231643"
688,Medveď - pobytové znaky,2023-01-30 11:00:00,,Stopa,,15,"48,88927227","18,54801837"
689,Medveď - pobytové znaky,2023-03-01 11:58:07,,Stopa,,16,"48,88400565","18,53325373"
690,Medveď - vizuálny kontakt,2022-09-07 10:00:00,,Medvedica s mladými,,19,"48,9130661","18,55622265"
691,Medveď - pobytové znaky,2023-03-02 11:01:37,,Značkovacie stromy a vývratiská,,Nedefinované,"48,91885831","18,52825561"
692,Medveď - vizuálny kontakt,2023-03-03 11:48:39,,Nedefinované,,7,"48,99639341","20,06289814"
693,Medveď - vizuálny kontakt,2023-03-02 11:00:00,,Nedefinované,,8,"49,0687813","19,14614675"
694,Medveď - pobytové znaky,2023-03-02 11:00:00,,Stopa,,11,"48,82362533","18,74474794"
695,Medveď - pobytové znaky,2023-03-20 11:37:25,,Stopa,,9,"49,06477592","18,13200339"
696,Medveď - vizuálny kontakt,2023-03-20 11:46:29,,Medvedica,,15,"49,10777169","18,28688598"
697,Medveď - pobytové znaky,2022-12-05 11:00:00,,Stopa,,Nedefinované,"48,65504348","18,64570903"
698,Medveď - útok,2023-03-04 11:00:00,,Samec,,9,"48,80916768","18,75409925"
699,Medveď - vizuálny kontakt,2022-08-17 10:00:00,,Samec,,Nedefinované,"48,68797155","18,69919709"
700,Medveď - vizuálny kontakt,2022-06-25 10:00:00,,Nedefinované,,20,"48,66318722","19,33808157"
701,Medveď - vizuálny kontakt,2021-08-20 10:00:00,Samec načal poľovníkom uloveného jeleňa a bol odohnaný,Samec,,6,"48,64718437","19,29202265"
702,Medveď - vizuálny kontakt,2022-06-25 10:00:00,,Medvedica s mladými,,Nedefinované,"48,62966214","19,28847678"
703,Medveď - vizuálny kontakt,2022-06-24 10:00:00,,Medvedica s mladými,,Nedefinované,"48,62759164","19,2865978"
704,Medveď - vizuálny kontakt,2022-08-25 10:49:52,,Medvedica s mladými,,Nedefinované,"48,6225679","19,29997645"
705,Medveď - vizuálny kontakt,2022-08-17 10:00:00,,Medvedica s mladými,,Nedefinované,"48,62644465","19,30495166"
706,Medveď - vizuálny kontakt,2022-08-17 10:00:00,,Medvedica s mladými,,Nedefinované,"48,63408747","19,30388424"
707,Medveď - vizuálny kontakt,2022-08-17 10:00:00,,Medvedica s mladými,,Nedefinované,"48,63396148","19,30150438"
708,Medveď - pobytové znaky,2022-08-22 10:00:00,,Trus,,Nedefinované,"48,63894218","19,28126995"
709,Medveď - pobytové znaky,2022-08-24 10:00:00,,Trus,,Nedefinované,"48,64119372","19,28716129"
710,Medveď - pobytové znaky,2022-08-24 10:00:00,,Trus,,Nedefinované,"48,64080797","19,2870775"
711,Medveď - pobytové znaky,2022-08-24 10:00:00,,Trus,,Nedefinované,"48,63265165","19,28465842"
712,Medveď - pobytové znaky,2022-07-27 10:00:00,,Trus,,Nedefinované,"48,62186918","19,29684998"
713,Medveď - pobytové znaky,2022-08-22 10:00:00,,Trus,,Nedefinované,"48,62444342","19,29530933"
714,Medveď - pobytové znaky,2022-06-25 10:00:00,,Stopa,,11,"48,41096272","19,53609827"
715,Medveď - pobytové znaky,2022-06-15 10:00:00,,Značkovacie stromy a vývratiská,,11,"48,54789148","19,5512246"
716,Medveď - pobytové znaky,2022-10-09 10:00:00,,Trus,,9,"48,86925938","19,84970161"
717,Medveď - vizuálny kontakt,2022-10-02 10:00:00,asi samec cca 3 ročný zachytení na fotopasci pri včelíne,Samec,,21,"48,86525266","19,84968138"
718,Medveď - vizuálny kontakt,2022-10-27 10:00:00,medvedica s 3 mladými,Medvedica s mladými,,11,"48,8540655","19,3422608"
719,Medveď - vizuálny kontakt,2022-09-27 10:00:00,medveď  - samec cca.200 kg,Samec,,15,"48,85315524","19,34268517"
720,Medveď - pobytové znaky,2022-11-03 11:01:49,medvedica + 2,Stopa,,10,"48,87659655","19,80312424"
721,Medveď - vizuálny kontakt,2022-06-15 10:00:00,Caňo,Medvedica s mladými,,Nedefinované,"48,80585062","18,66572497"
722,Medveď - vizuálny kontakt,2022-09-08 10:00:00,fotopasca,Samec,,5,"48,80265903","18,72193496"
723,Medveď - pobytové znaky,2022-08-12 10:00:00,Matiaško,Stopa,,Nedefinované,"48,81616065","18,75037976"
724,Medveď - vizuálny kontakt,2022-08-30 10:00:00,Matiaško,Samec,,11,"48,81753209","18,74423241"
725,Medveď - vizuálny kontakt,2022-06-27 10:00:00,robotníci,Medvedica s mladými,,12,"48,80896721","18,74014472"
726,Medveď - vizuálny kontakt,2022-11-01 11:00:00,,Samec,,18,"48,63957138","19,58734475"
727,Medveď - vizuálny kontakt,2022-10-18 10:00:00,,Medvedica s mladými,,7,"48,74334472","18,81368762"
728,Medveď - vizuálny kontakt,2023-01-13 11:00:00,,Nedefinované,,Nedefinované,"48,62744401","18,97609021"
729,Medveď - útok,2023-01-25 11:00:00,,Samec,,Nedefinované,"48,81929518","18,56797561"
730,Medveď - vizuálny kontakt,2022-03-02 11:00:00,,Medvedica s mladými,,15,"48,93976789","18,58422815"
731,Medveď - útok,2022-03-03 11:00:00,,Medvedica s mladými,,11,"48,89147477","18,57674456"
732,Medveď - vizuálny kontakt,2022-07-25 10:00:00,,Nedefinované,,7,"48,92922399","18,67664757"
733,Medveď - útok,2022-07-08 10:00:00,,Nedefinované,,11,"48,93084497","18,65550837"
734,Medveď - vizuálny kontakt,2022-08-15 10:00:00,,Nedefinované,,12,"48,9323836","18,66423248"
735,Medveď - pobytové znaky,2023-01-27 11:00:00,,Nedefinované,,10,"48,95143139","18,69074807"
736,Medveď - vizuálny kontakt,2023-07-15 10:00:00,,Nedefinované,,16,"48,91875878","18,66793003"
737,Medveď - vizuálny kontakt,2022-09-30 10:00:00,,Nedefinované,,14,"48,92984624","18,67892635"
738,Medveď - vizuálny kontakt,2022-09-28 10:00:00,,Nedefinované,,8,"48,9455535","18,66769188"
739,Medveď - vizuálny kontakt,2023-01-10 11:00:00,,Samec,,10,"48,6410836","18,97054326"
740,Medveď - vizuálny kontakt,2022-11-10 11:00:00,,Samec,,9,"48,62702532","18,75060739"
741,Medveď - vizuálny kontakt,2022-10-15 10:00:00,,Samec,,11,"48,68683519","18,77533792"
742,Medveď - vizuálny kontakt,2022-07-13 10:00:00,,Samec,,7,"48,69661725","18,97493243"
